genome_id	pgs	matched	height_cm	sex
10020.23andme.8283	1.507801	48622	180.3	M
10036.ancestry.8300	-0.274023	48622	169.0	M
10074.23andme.8335	-0.089894	48622	157.5	F
10077.23andme.8336	4.153114	48622	170.2	F
10093.ancestry.8353	-2.395222	48622	182.9	M
10097.ancestry.8358	0.496271	48622	160.0	F
1010.23andme.502	2.451851	48622	182.9	M
10171.23andme.8436	0.708726	48622	170.2	M
10195.23andme.9040	-0.311926	48622	170.2	F
1020.23andme.507	1.437349	48622	172.7	M
10260.ancestry.8525	0.271312	48622	162.6	F
10279.23andme.8537	2.069909	48622	179.0	F
1029.23andme.515	5.668320	48622	162.6	F
10347.23andme.8604	1.044655	48622	175.0	M
1035.ancestry.518	5.494078	48622	167.6	F
10374.23andme.8624	1.479949	48622	175.3	F
1038.23andme.520	0.587010	48622	162.6	F
10383.ancestry.8633	2.404733	48622	182.0	M
1039.23andme.521	4.085866	48622	183.0	M
10408.23andme.8659	0.468591	48622	167.6	F
10424.ancestry.8695	1.830585	48622	168.9	F
10430.ancestry.8694	0.212549	48622	157.5	F
10448.ancestry.8721	0.164592	48622	160.0	F
10469.23andme.8739	0.133523	48622	162.6	F
10490.ancestry.8762	-2.233743	48622	155.0	F
10508.ancestry.8779	0.818617	48622	161.3	F
10523.23andme.8790	-0.951931	48622	156.2	M
10530.ancestry.8795	3.274540	48622	186.0	M
10575.ftdna-illumina.8844	0.273775	48622	165.0	F
10586.ancestry.8852	1.825735	48622	180.3	M
1060.23andme.536	4.624122	48622	190.5	M
10632.23andme.9278	1.696704	48622	165.0	M
10635.ancestry.8887	0.962247	48622	162.6	F
1071.23andme.552	2.845227	48622	180.0	M
1075.23andme.550	2.827395	48622	157.5	F
1077.23andme.551	0.839373	48622	185.4	M
10785.ancestry.8929	-2.695162	48622	167.6	F
10790.ancestry.8933	-3.590768	48622	172.7	M
10868.23andme.8976	0.107704	48622	149.9	F
10881.ftdna-illumina.8993	0.519004	48622	183.0	M
10883.ftdna-illumina.8995	2.385867	48622	190.0	M
10885.23andme.8998	1.325622	48622	183.0	M
1089.23andme.559	1.772324	48622	170.2	F
10936.23andme.9481	4.249264	48622	160.0	M
10962.ancestry.9067	3.585964	48622	160.0	F
10967.23andme.9086	-0.804596	48622	167.6	F
10977.ancestry.9130	5.248100	48622	175.3	F
11.23andme.176	4.301066	48622	177.8	M
1100.23andme.606	1.932890	48622	179.0	M
11015.23andme.9135	1.838624	48622	157.5	F
11053.ancestry.9166	3.877607	48622	180.3	M
11069.ancestry.9182	1.493364	48622	152.4	F
11076.23andme.9189	1.840531	48622	160.0	F
11135.ancestry.9241	-3.770858	48622	165.1	F
1114.23andme.574	2.853139	48622	193.0	M
11143.ftdna-illumina.9248	0.778168	48622	165.0	F
1125.23andme.582	1.792763	48622	182.9	M
11396.ancestry.9318	-1.132911	48622	172.7	F
11397.ancestry.9319	0.749667	48622	162.6	F
11425.23andme.9343	1.720030	48622	167.6	F
11432.23andme.9349	2.683009	7785	177.0	M
11441.23andme.9360	2.123555	7785	162.6	F
1147.23andme.598	-1.514540	48622	170.2	M
11499.ancestry.9392	2.139477	44092	155.0	F
11526.ancestry.9602	-0.085107	48622	162.6	F
11528.ancestry.9419	-1.395654	48622	190.5	M
11531.23andme.9422	4.117817	48622	185.4	M
11562.ancestry.9452	1.446156	48622	190.5	M
11584.ancestry.9471	-1.354217	48622	155.0	F
1163.23andme.603	2.191469	48622	180.3	M
11641.ftdna-illumina.9569	-0.637796	48622	181.0	M
1171.23andme.607	2.696996	48622	172.7	F
11739.ftdna-illumina.9641	1.214130	48622	181.0	M
11744.23andme-exome-vcf.9648	0.916411	26925	185.0	M
11753.ancestry.9654	3.628877	48622	185.4	F
11795.ancestry.9692	-2.468788	48622	165.1	F
11802.23andme.9696	2.298440	7785	168.0	M
11819.23andme.9702	-0.215344	48622	173.0	F
11878.23andme.9758	2.658290	48622	170.2	F
1190.23andme.626	1.729076	48622	172.7	F
1193.23andme.628	1.998158	48622	168.9	F
11931.ancestry.9804	1.381731	48622	181.0	M
11944.ftdna-illumina.9815	-4.045899	48622	152.4	F
11985.ancestry.9850	1.818220	48622	174.0	M
12010.23andme.9873	3.767264	48622	183.0	F
1215.23andme.645	3.034726	48622	176.0	F
12211.23andme-exome-vcf.10058	0.001014	48622	172.7	M
12214.ancestry.10061	0.980991	48622	178.0	M
12246.ancestry.10089	0.041503	48622	169.0	F
12258.23andme.10097	1.642319	48622	164.0	M
12289.ancestry.10122	0.537524	48622	188.0	M
12299.23andme.10131	-0.911733	48622	157.5	F
12302.ftdna-illumina.10290	2.582109	48622	177.0	M
12324.ftdna-illumina.10159	1.822367	7785	185.0	M
12387.23andme-exome-vcf.10222	-2.881623	48622	157.5	F
